FIPS,CountyState,Lon,Lat,AnyHL_crd_rate,TPUF_demog_age_15_64,TPUF_demog_race_eth_black,TPUF_demog_urbanicity,TPUF_demog_age_0_14,HH_average_family_size,TPUF_demog_race_eth_asian,TPUF_road_density,OI_natural_resources_construction_and_maintenance_occupations,EDU_high_school_graduate_includes_equivalency,HH_householder_living_alone,OI_professional_scientific_and_management_and_administrative_and_waste_management_services,VET_x18_to_34_years,TPUF_drive_distance_miles,TPUF_sex_ratio,INS_PRIV_below_138_percent_of_the_poverty_threshold,INS_PRIV_x65_years_and_over_4,OI_public_transportation_excluding_taxicab
01001,"Autauga County, Alabama",-86.64289976,32.53514228,0.137539999999717,0.656,0.184,0.58,0.204,3.09,0.008,1242.54742260449,0.078,0.336,0.256,0.096,12.9,12.1907628213615,89.7379528666901,0.306,0.262,0.007
01003,"Baldwin County, Alabama",-87.72274477,30.72782468,0.14766999999847,0.63,0.092,0.577,0.183,3.24,0.007,1793.1279939545,0.093,0.277,0.296,0.103,6.2,19.9364189148655,90.6200076074553,0.32,0.325,0.0
01005,"Barbour County, Alabama",-85.39106787,31.87009042,0.151279999998224,0.655,0.479,0.322,0.179,3.01,0.004,1357.20876269897,0.141,0.356,0.319,0.061,7.5,32.3871768336663,86.2329141607436,0.199,0.35,0.003
01007,"Bibb County, Alabama",-87.12681433,32.99837607,0.139229999998861,0.681,0.212,0.316,0.17,3.74,0.001,1230.31357972229,0.168,0.449,0.285,0.053,5.0,30.5638466335167,107.527153321546,0.301,0.188,0.0
01009,"Blount County, Alabama",-86.5670064,33.98087061,0.144799999998213,0.634,0.016,0.1,0.194,3.33,0.002,1286.80566334256,0.162,0.334,0.262,0.071,5.7,12.6973774932631,97.8514588859416,0.343,0.255,0.001
01011,"Bullock County, Alabama",-85.71572943,32.10045868,0.0967499999997017,0.669,0.755,0.486,0.18,3.3,0.008,1027.11741516835,0.125,0.403,0.258,0.028,3.4,24.4682810139461,115.661641541039,0.23,0.158,0.0
01013,"Butler County, Alabama",-86.68040924,31.75252432,0.133569999999963,0.627,0.435,0.288,0.192,3.78,0.01,1365.50900872227,0.102,0.452,0.307,0.062,2.6,13.9359433531487,82.0762976860538,0.425,0.238,0.002
01015,"Calhoun County, Alabama",-85.82574705,33.77141549,0.155119999999442,0.659,0.203,0.663,0.181,3.03,0.009,2572.19223944363,0.104,0.328,0.281,0.073,8.1,12.3074375878544,89.145783716568,0.314,0.328,0.004
01017,"Chambers County, Alabama",-85.39168915,32.91366622,0.147149999998874,0.64,0.405,0.509,0.176,3.1,0.009,1527.69299849324,0.105,0.367,0.305,0.095,13.4,21.8061087716298,90.4248617624414,0.281,0.333,0.003
01019,"Cherokee County, Alabama",-85.60387066,34.17588713,0.16352999999981,0.629,0.046,0.143,0.168,2.94,0.003,1646.08144319874,0.14,0.403,0.284,0.042,4.5,11.7635733188919,97.8509601034723,0.312,0.373,0.002
01021,"Chilton County, Alabama",-86.71887934,32.84771004,0.143599999999424,0.647,0.1,0.133,0.201,3.06,0.004,1425.84160431583,0.19,0.444,0.256,0.054,8.2,22.1325236452549,94.4598018889657,0.277,0.398,0.0
01023,"Choctaw County, Alabama",-88.26305322,32.02019311,0.173199999999269,0.625,0.422,0.0,0.168,3.07,0.0,854.399901884498,0.16,0.377,0.326,0.041,8.1,35.3780745467123,87.497677874791,0.255,0.399,0.0
01025,"Clarke County, Alabama",-87.83077181,31.67695451,0.139059999999517,0.638,0.455,0.24,0.181,3.46,0.005,751.088954422929,0.165,0.418,0.361,0.041,4.9,28.9337391877329,87.9815261887268,0.277,0.293,0.0
01027,"Clay County, Alabama",-85.8607443,33.26966941,0.196649999999863,0.632,0.147,0.0,0.174,3.04,0.0,1081.98650964283,0.104,0.378,0.259,0.045,4.4,19.1747305253492,94.7940809413443,0.195,0.407,0.0
01029,"Cleburne County, Alabama",-85.51786948,33.67495934,0.202039999998306,0.622,0.024,0.0,0.197,3.21,0.006,1462.62781429264,0.151,0.38,0.292,0.051,12.3,11.8333005015475,93.809201623816,0.295,0.315,0.0
01031,"Coffee County, Alabama",-85.98828821,31.40188396,0.155329999999594,0.647,0.17,0.528,0.195,3.12,0.012,2172.25185026844,0.127,0.272,0.274,0.066,8.7,13.0287105758334,88.6817511067388,0.318,0.339,0.0
01033,"Colbert County, Alabama",-87.80463371,34.70085284,0.148959999998624,0.639,0.156,0.561,0.177,3.06,0.004,1690.00845148528,0.109,0.378,0.284,0.071,9.3,16.3632224021403,90.8640805958583,0.31,0.352,0.001
01035,"Conecuh County, Alabama",-86.9938237,31.42899352,0.139529999998558,0.613,0.462,0.191,0.184,3.41,0.001,1197.97828782906,0.095,0.511,0.33,0.026,1.7,28.9554441651569,89.9202617051728,0.354,0.223,0.002
01037,"Coosa County, Alabama",-86.24789409,32.9362956,0.21063999999933,0.666,0.324,0.0,0.147,3.26,0.0,1016.4903969727,0.135,0.403,0.321,0.041,5.5,24.2191624203717,92.5352438178877,0.293,0.396,0.0
01039,"Covington County, Alabama",-86.45142629,31.24861005,0.165549999999712,0.616,0.13,0.303,0.182,3.0,0.005,1475.12055276357,0.149,0.373,0.287,0.091,5.6,16.0512877410866,89.4601202669662,0.252,0.296,0.0
01041,"Crenshaw County, Alabama",-86.31341907,31.73169775,0.152479999998832,0.636,0.237,0.0,0.189,3.45,0.017,1130.16432759668,0.146,0.395,0.284,0.08,7.2,21.5511167522083,94.5867287543656,0.372,0.32,0.008
01043,"Cullman County, Alabama",-86.86718877,34.13183982,0.155939999998736,0.636,0.01,0.268,0.186,3.18,0.006,1736.87346825552,0.146,0.341,0.268,0.073,6.7,13.5530568499902,96.5999823222651,0.31,0.308,0.001
01045,"Dale County, Alabama",-85.611081,31.43204363,0.160989999998492,0.65,0.194,0.491,0.196,3.14,0.01,1753.09897754092,0.142,0.323,0.284,0.058,10.3,11.8439396260008,86.1396140145675,0.274,0.344,0.0
01047,"Dallas County, Alabama",-87.10649231,32.32606741,0.104739999999765,0.637,0.695,0.544,0.206,3.06,0.004,1093.61299802851,0.088,0.359,0.321,0.053,8.5,15.6424294440922,81.0212713786551,0.21,0.259,0.0
01049,"DeKalb County, Alabama",-85.80378574,34.46023769,0.118949999999131,0.64,0.015,0.099,0.204,3.26,0.003,1835.88104440711,0.117,0.342,0.266,0.053,5.1,13.9380824643962,96.7205866096761,0.259,0.372,0.002
01051,"Elmore County, Alabama",-86.14884036,32.59724126,0.147469999999885,0.672,0.211,0.458,0.189,3.09,0.006,1713.65727691906,0.098,0.325,0.249,0.084,10.9,12.4350061835496,83.5062727166139,0.322,0.254,0.001
01053,"Escambia County, Alabama",-87.16176056,31.12613571,0.151669999999285,0.648,0.323,0.365,0.186,3.47,0.001,1132.25155990654,0.108,0.437,0.348,0.052,6.1,30.5874305280786,85.263385457952,0.306,0.262,0.003
01055,"Etowah County, Alabama",-86.03476854,34.04518886,0.15197999999873,0.647,0.153,0.625,0.179,3.23,0.007,2262.00818066088,0.096,0.329,0.299,0.056,8.3,11.5661996423126,91.4567360350493,0.25,0.322,0.001
01057,"Fayette County, Alabama",-87.73924331,33.72117266,0.232109999999011,0.635,0.122,0.198,0.169,2.85,0.003,1106.77862192121,0.102,0.413,0.266,0.044,7.3,12.5268365607737,94.5176110260337,0.309,0.373,0.0
01059,"Franklin County, Alabama",-87.843283,34.44238135,0.146839999999429,0.637,0.041,0.296,0.203,3.44,0.003,1365.77275492586,0.12,0.366,0.274,0.058,8.3,21.3462094013722,98.347245409015,0.237,0.319,0.001
01061,"Geneva County, Alabama",-85.83932953,31.09486905,0.18463999999949,0.627,0.094,0.104,0.184,3.11,0.004,1971.78042046092,0.164,0.36,0.283,0.055,10.0,22.9982872197074,93.3629994319258,0.206,0.309,0.0
01063,"Greene County, Alabama",-87.95276818,32.853304,0.139329999999973,0.632,0.812,0.0,0.188,4.34,0.002,992.919004175293,0.096,0.386,0.452,0.059,24.5,39.0221034601142,88.7232059645853,0.258,0.222,0.0
01065,"Hale County, Alabama",-87.62930576,32.7625948,0.144189999999071,0.634,0.583,0.108,0.189,3.36,0.001,827.068679738694,0.103,0.434,0.331,0.096,23.9,37.0318834487045,85.3362183754993,0.267,0.275,0.002
01067,"Henry County, Alabama",-85.24094152,31.51487991,0.169529999999213,0.62,0.279,0.122,0.173,3.13,0.0,1860.37943501562,0.095,0.326,0.285,0.083,5.4,22.4854476159603,92.2509758565852,0.353,0.379,0.0
01069,"Houston County, Alabama",-85.30251402,31.15295179,0.130529999998544,0.643,0.264,0.662,0.197,3.3,0.008,3984.80669773336,0.094,0.312,0.305,0.078,8.1,12.0398148261645,87.9036010049316,0.265,0.332,0.0
01071,"Jackson County, Alabama",-85.99947584,34.77954231,0.15896999999859,0.639,0.033,0.23,0.177,3.02,0.004,1847.10476749132,0.117,0.41,0.28,0.077,7.3,16.4166027519019,94.6881230418684,0.347,0.429,0.0
01073,"Jefferson County, Alabama",-86.89657084,33.5543433,0.106699999999364,0.664,0.423,0.902,0.193,3.15,0.015,3853.02979300006,0.071,0.264,0.321,0.109,6.3,16.6698537410426,86.3275178631878,0.311,0.309,0.009
01075,"Lamar County, Alabama",-88.09715315,33.77909349,0.181849999999031,0.62,0.113,0.0,0.178,2.96,0.0,2373.1021178288,0.132,0.398,0.313,0.07,4.8,20.8580456747994,94.2537043729671,0.226,0.269,0.007
01077,"Lauderdale County, Alabama",-87.65411658,34.9015002,0.143659999999727,0.65,0.098,0.507,0.167,2.91,0.007,2228.6494284408,0.105,0.36,0.292,0.08,8.9,12.9230142174852,90.6686961457097,0.374,0.396,0.0
01079,"Lawrence County, Alabama",-87.31085381,34.52223687,0.171159999999873,0.655,0.114,0.087,0.184,3.11,0.001,1757.8266976484,0.134,0.412,0.267,0.059,6.9,26.367712164007,92.5543928329444,0.309,0.347,0.002
01081,"Lee County, Alabama",-85.35522451,32.60106116,0.106499999999869,0.716,0.231,0.726,0.181,3.2,0.035,3049.67834748117,0.078,0.237,0.297,0.09,8.2,12.3242176173876,94.0106874638937,0.545,0.287,0.007
01083,"Limestone County, Alabama",-86.98207203,34.81013487,0.141929999999775,0.669,0.127,0.424,0.192,3.47,0.012,2726.52355902926,0.112,0.304,0.259,0.117,6.2,11.831793213451,94.0005650152811,0.327,0.406,0.002
01085,"Lowndes County, Alabama",-86.65002353,32.1550404,0.137829999999667,0.634,0.746,0.0,0.192,2.94,0.0,1130.41766647191,0.114,0.396,0.33,0.081,6.3,26.1959127608433,84.8662599718442,0.24,0.222,0.004
01087,"Macon County, Alabama",-85.69260703,32.38585029,0.0956899999991947,0.688,0.815,0.445,0.144,2.88,0.002,1331.86460305573,0.073,0.302,0.369,0.058,7.2,24.6155648425676,79.8890900860118,0.36,0.248,0.003
01089,"Madison County, Alabama",-86.55056927,34.76292257,0.107559999999467,0.679,0.24,0.836,0.184,2.99,0.024,3727.93058151602,0.062,0.206,0.303,0.197,7.5,14.1563102376246,92.9511674484794,0.352,0.335,0.002
01091,"Marengo County, Alabama",-87.78920946,32.24794915,0.150259999998525,0.625,0.528,0.307,0.189,3.88,0.002,935.27443293183,0.139,0.38,0.458,0.043,11.0,33.3031350062122,86.7819719732357,0.301,0.367,0.0
01093,"Marion County, Alabama",-87.88740606,34.13691856,0.213369999999486,0.63,0.032,0.111,0.169,3.06,0.003,1968.27301115603,0.127,0.348,0.306,0.063,2.9,13.623018983997,94.0146857923497,0.266,0.373,0.0
01095,"Marshall County, Alabama",-86.30615623,34.36690867,0.135969999999361,0.631,0.021,0.467,0.205,3.3,0.006,0.0,0.108,0.311,0.268,0.073,5.4,11.8937755204057,96.8551042810099,0.241,0.399,0.004
01097,"Mobile County, Alabama",-88.20659057,30.77909854,0.114899999999579,0.656,0.352,0.8,0.199,3.31,0.019,2333.90603575579,0.106,0.34,0.313,0.098,8.5,17.5312552548418,87.5823655320858,0.268,0.275,0.004
01099,"Monroe County, Alabama",-87.36529615,31.57107175,0.12568999999894,0.633,0.424,0.21,0.189,3.42,0.002,716.50125236454,0.119,0.472,0.354,0.059,3.9,29.1696768523887,86.4770818334533,0.228,0.233,0.004
01101,"Montgomery County, Alabama",-86.20787706,32.22089414,0.0962199999994482,0.673,0.567,0.895,0.194,3.16,0.022,2512.30623295712,0.053,0.25,0.335,0.111,9.0,14.0120757913796,82.3398394628677,0.282,0.261,0.005
01103,"Morgan County, Alabama",-86.85325062,34.45331009,0.15139999999883,0.652,0.12,0.614,0.191,3.14,0.007,2228.51791407541,0.106,0.304,0.278,0.09,6.9,12.0381920612734,93.9962240402769,0.318,0.359,0.002
01105,"Perry County, Alabama",-87.29424703,32.63859284,0.134589999999662,0.626,0.686,0.0,0.186,4.52,0.002,900.351363756648,0.045,0.369,0.511,0.037,4.2,24.2518883115438,83.7260273972603,0.259,0.319,0.0
01107,"Pickens County, Alabama",-88.08923504,33.28058298,0.180149999998321,0.65,0.418,0.0,0.17,3.02,0.001,747.695218815551,0.116,0.372,0.306,0.052,6.7,24.3442625967146,108.36951639467,0.244,0.293,0.004
01109,"Pike County, Alabama",-85.94087373,31.80232564,0.100499999999556,0.69,0.374,0.483,0.167,3.68,0.021,1585.9743076028,0.073,0.357,0.374,0.072,11.3,12.962156446847,88.7910839781359,0.419,0.358,0.003
01111,"Randolph County, Alabama",-85.45918107,33.29354361,0.177089999999225,0.625,0.192,0.187,0.181,3.19,0.002,1792.91086370158,0.116,0.349,0.312,0.072,10.9,26.6426232006535,92.010367365337,0.314,0.311,0.001
01113,"Russell County, Alabama",-85.18428296,32.28806204,0.133149999999659,0.662,0.42,0.646,0.212,3.1,0.007,1878.65519528455,0.094,0.314,0.321,0.104,13.7,23.5102495588243,85.1392251815981,0.285,0.244,0.0
01115,"St. Clair County, Alabama",-86.31476905,33.71540022,0.149749999998676,0.657,0.094,0.272,0.191,3.17,0.008,2082.31123129015,0.124,0.356,0.242,0.093,9.0,12.5655605076984,92.5012767406231,0.335,0.307,0.002
01117,"Shelby County, Alabama",-86.66137476,33.26405258,0.108829999999216,0.669,0.116,0.771,0.201,3.18,0.02,2468.21595081944,0.073,0.198,0.25,0.121,10.6,14.012879384795,90.982119424444,0.417,0.355,0.0
01119,"Sumter County, Alabama",-88.19904039,32.59104949,0.134479999998803,0.676,0.717,0.0,0.162,3.21,0.028,1122.50418472242,0.086,0.354,0.426,0.035,13.5,29.8736989743895,82.8702851885924,0.225,0.217,0.008
01121,"Talladega County, Alabama",-86.16587666,33.37992421,0.142699999998513,0.656,0.32,0.442,0.182,3.02,0.005,1967.9703201739,0.11,0.337,0.294,0.05,6.4,13.5722150987973,86.717497201295,0.276,0.357,0.002
01123,"Tallapoosa County, Alabama",-85.79746538,32.86280802,0.165379999998549,0.628,0.27,0.258,0.177,3.01,0.005,1605.9490067579,0.123,0.327,0.281,0.068,2.4,13.3840472492704,90.3961158150275,0.323,0.386,0.001
01125,"Tuscaloosa County, Alabama",-87.52558359,33.28952146,0.0939199999993434,0.707,0.31,0.745,0.176,3.32,0.015,1789.57373635502,0.086,0.299,0.285,0.076,9.0,18.1717792018742,90.3856830279873,0.432,0.297,0.005
01127,"Walker County, Alabama",-87.29727889,33.80316281,0.180699999998978,0.636,0.057,0.259,0.182,3.04,0.005,1614.44641572981,0.147,0.375,0.266,0.065,6.1,14.0626577998286,93.181994266677,0.286,0.282,0.001
01129,"Washington County, Alabama",-88.20819419,31.40759248,0.191429999998945,0.647,0.248,0.0,0.186,3.37,0.006,534.893466934095,0.179,0.431,0.268,0.071,2.6,16.4332584608465,104.227234753551,0.314,0.335,0.0
01131,"Wilcox County, Alabama",-87.30786547,31.98928301,0.165829999999914,0.654,0.72,0.0,0.168,3.67,0.0,907.087591244336,0.098,0.395,0.352,0.058,2.1,14.898503467827,84.7745234774523,0.191,0.3,0.003
01133,"Winston County, Alabama",-87.37341176,34.14959585,0.204889999999068,0.627,0.004,0.151,0.173,3.04,0.004,1193.76666629288,0.147,0.382,0.307,0.032,7.8,24.4153641017493,97.6195559350982,0.263,0.336,0.003
04001,"Apache County, Arizona",-109.488754,35.39559896,0.156809999998586,0.627,0.005,0.259,0.24,4.42,0.004,803.491710280339,0.128,0.322,0.314,0.031,7.6,52.9111512343641,96.0622185837086,0.107,0.129,0.01
04003,"Cochise County, Arizona",-109.7510129,31.87959362,0.173079999998663,0.617,0.037,0.637,0.186,2.91,0.017,599.219086509551,0.1,0.241,0.3,0.128,8.4,39.4010726379493,91.464911538136,0.268,0.305,0.007
04005,"Coconino County, Arizona",-111.7705493,35.83875351,0.113129999999728,0.712,0.013,0.685,0.18,3.33,0.017,393.128111725517,0.08,0.22,0.262,0.079,11.2,68.2210357020111,95.1764605833829,0.367,0.295,0.016
04007,"Gila County, Arizona",-110.8119677,33.79996932,0.243549999999232,0.566,0.005,0.589,0.17,2.95,0.008,330.779784247726,0.134,0.279,0.305,0.072,1.1,69.2478974699473,96.2538190364277,0.227,0.413,0.002
04009,"Graham County, Arizona",-109.8875198,32.93295414,0.119919999999183,0.644,0.018,0.536,0.232,3.7,0.007,327.930495204684,0.17,0.287,0.246,0.049,7.4,33.9922707225679,98.3891445802254,0.28,0.346,0.002
04011,"Greenlee County, Arizona",-109.2401561,33.21537146,0.119069999999738,0.651,0.018,0.534,0.234,3.47,0.005,308.643847912172,0.304,0.347,0.216,0.055,13.7,42.1330564469175,109.996952148735,0.509,0.435,0.0
04012,"La Paz County, Arizona",-113.981207,33.7291609,0.297169999998005,0.494,0.004,0.437,0.145,2.67,0.007,425.429546979584,0.184,0.311,0.312,0.034,2.5,66.7495995029087,104.1917045288,0.151,0.349,0.003
04013,"Maricopa County, Arizona",-112.4908888,33.34875974,0.110229999999319,0.653,0.05,0.976,0.208,3.37,0.038,2068.44081407024,0.084,0.224,0.267,0.135,9.4,47.9630939357115,96.363778118868,0.271,0.3,0.02
04015,"Mohave County, Arizona",-113.7581706,35.70456821,0.225769999999102,0.578,0.01,0.77,0.153,2.84,0.012,260.255684674042,0.102,0.353,0.29,0.071,4.6,57.7325252791662,100.956241191749,0.214,0.362,0.01
04017,"Navajo County, Arizona",-110.3213121,35.39960537,0.182029999999941,0.612,0.007,0.459,0.231,3.72,0.006,675.654639419219,0.119,0.303,0.26,0.039,7.0,49.8736790823463,95.3762279483619,0.154,0.259,0.013
04019,"Pima County, Arizona",-111.7896381,32.09723099,0.148169999998572,0.641,0.032,0.925,0.181,3.1,0.026,853.136389389044,0.087,0.222,0.305,0.129,9.3,47.9289365548028,92.6910299003322,0.278,0.284,0.023
04021,"Pinal County, Arizona",-111.34488,32.90415087,0.161629999998695,0.614,0.043,0.781,0.204,3.43,0.017,789.986589723533,0.104,0.293,0.247,0.101,8.0,36.6267360347159,97.0311528094547,0.28,0.354,0.002
04023,"Santa Cruz County, Arizona",-110.8466869,31.52598116,0.135989999998856,0.608,0.002,0.731,0.233,3.39,0.008,747.373564471233,0.096,0.287,0.214,0.074,2.8,67.9939609328087,89.123617758706,0.221,0.247,0.008
04025,"Yavapai County, Arizona",-112.5538467,34.59969928,0.219299999998839,0.576,0.005,0.668,0.142,2.77,0.008,559.204908338101,0.104,0.258,0.308,0.101,5.5,45.0635916834759,94.4374563242488,0.317,0.408,0.004
04027,"Yuma County, Arizona",-113.9058099,32.76933672,0.131379999998899,0.608,0.018,0.896,0.218,3.26,0.012,438.895554989639,0.183,0.257,0.21,0.082,15.6,37.1276955791637,99.0627292990544,0.229,0.378,0.02
05001,"Arkansas County, Arkansas",-91.37520643,34.29076839,0.156469999999899,0.632,0.258,0.653,0.191,2.94,0.0,1164.86750359536,0.111,0.389,0.301,0.042,4.3,15.7491672954885,92.754906300723,0.205,0.315,0.0
05003,"Ashley County, Arkansas",-91.76814114,33.19120398,0.164949999998498,0.625,0.259,0.483,0.194,3.17,0.0,1309.76445570596,0.132,0.437,0.272,0.048,7.3,42.9461713136257,90.6225881142269,0.154,0.37,0.003
05005,"Baxter County, Arkansas",-92.33686558,36.28715062,0.219069999999192,0.553,0.002,0.342,0.146,2.71,0.005,1456.88348705026,0.097,0.363,0.305,0.061,9.6,11.7678385472377,92.6320588067696,0.316,0.373,0.0
05007,"Benton County, Arkansas",-94.25598718,36.33873798,0.107459999999264,0.644,0.014,0.748,0.228,3.18,0.035,3177.49320650194,0.09,0.292,0.221,0.1,10.5,14.5578554520151,97.8000678393177,0.284,0.347,0.001
05009,"Boone County, Arkansas",-93.09137415,36.30874792,0.170719999998255,0.619,0.003,0.378,0.184,2.93,0.005,1262.60805701993,0.095,0.334,0.265,0.069,14.1,12.1421333067224,94.658571526025,0.273,0.441,0.001
05011,"Bradley County, Arkansas",-92.16229542,33.46613806,0.185929999999644,0.619,0.29,0.504,0.198,3.07,0.0,723.160588419515,0.18,0.413,0.309,0.035,10.4,32.2880360947998,88.2801333968556,0.241,0.358,0.0
05013,"Calhoun County, Arkansas",-92.50253376,33.55786388,0.209799999998722,0.651,0.219,0.0,0.163,3.32,0.002,957.439567750698,0.181,0.447,0.286,0.084,6.3,27.3556034645266,105.531914893617,0.268,0.272,0.002
05015,"Carroll County, Arkansas",-93.53832319,36.34107901,0.16747999999825,0.608,0.005,0.272,0.183,3.04,0.009,1313.10404929356,0.13,0.359,0.28,0.074,3.1,24.7841361020354,97.787892580792,0.252,0.408,0.0
05017,"Chicot County, Arkansas",-91.29365079,33.2673446,0.159729999999399,0.615,0.542,0.457,0.193,3.13,0.004,1194.56509703761,0.1,0.381,0.327,0.034,4.9,68.034380806519,88.7092700176812,0.127,0.267,0.002
05019,"Clark County, Arkansas",-93.17667235,34.05108285,0.162929999998596,0.682,0.236,0.456,0.161,2.89,0.008,1355.73769906524,0.087,0.302,0.288,0.042,4.3,22.6860959051747,88.1239054290718,0.329,0.364,0.008
05021,"Clay County, Arkansas",-90.41718919,36.36822542,0.20368999999846,0.62,0.005,0.411,0.17,2.85,0.002,1086.54815875505,0.131,0.419,0.318,0.039,9.2,24.228726897094,92.8390045708482,0.225,0.399,0.0
05023,"Cleburne County, Arkansas",-92.02725586,35.53853919,0.221989999998186,0.583,0.006,0.245,0.163,2.8,0.006,1332.66865783584,0.141,0.428,0.291,0.084,6.5,25.1318524604607,98.7853844609516,0.273,0.478,0.0
05025,"Cleveland County, Arkansas",-92.18489948,33.89823609,0.199469999999565,0.631,0.105,0.0,0.182,3.02,0.001,920.571452402869,0.162,0.466,0.29,0.048,2.5,29.5009362268662,88.6857863220927,0.221,0.3,0.001
05027,"Columbia County, Arkansas",-93.22737493,33.2142428,0.135459999999512,0.658,0.347,0.425,0.177,3.18,0.011,960.762486411329,0.095,0.417,0.318,0.033,27.0,30.2615748727617,90.1546666666667,0.227,0.33,0.001
05029,"Conway County, Arkansas",-92.70098811,35.26227905,0.187529999999242,0.625,0.118,0.295,0.191,3.09,0.0,1556.83831907343,0.173,0.438,0.291,0.06,8.5,22.2227592862725,95.0533938873205,0.192,0.327,0.0
05031,"Craighead County, Arkansas",-90.63270647,35.8310138,0.121469999999135,0.663,0.138,0.678,0.208,3.06,0.012,2353.37545068945,0.102,0.346,0.287,0.064,8.5,13.2962539870829,91.4768448795181,0.241,0.426,0.005
05033,"Crawford County, Arkansas",-94.24296995,35.588841,0.179229999999734,0.641,0.013,0.48,0.206,3.09,0.018,1713.22976401447,0.096,0.373,0.252,0.063,3.4,27.1254833341457,95.4286211850755,0.256,0.341,0.001
05035,"Crittenden County, Arkansas",-90.30924635,35.20762172,0.106229999999414,0.644,0.506,0.791,0.234,3.18,0.006,2590.01404883373,0.103,0.348,0.307,0.061,11.7,12.3780816930674,86.6559226430298,0.112,0.309,0.003
05037,"Cross County, Arkansas",-90.77181286,35.29547453,0.156189999999697,0.628,0.232,0.432,0.2,2.99,0.003,1376.25493632013,0.144,0.415,0.24,0.048,16.4,20.2871951722687,91.7381489841986,0.16,0.29,0.001
05039,"Dallas County, Arkansas",-92.65420664,33.96953994,0.200399999999718,0.616,0.408,0.474,0.182,2.85,0.018,922.007440228642,0.099,0.441,0.376,0.046,0.0,29.309513997976,92.3165578179024,0.337,0.259,0.001
05041,"Desha County, Arkansas",-91.2539449,33.83346926,0.14614999999867,0.619,0.476,0.686,0.21,2.7,0.001,752.092068349389,0.159,0.446,0.282,0.037,0.0,32.5343847257847,85.6955667176239,0.251,0.321,0.002
05043,"Drew County, Arkansas",-91.71972855,33.58957425,0.157589999998891,0.656,0.287,0.514,0.185,2.96,0.001,1246.43692662021,0.114,0.353,0.27,0.058,9.9,48.6394633751747,92.0496717099629,0.291,0.271,0.0
05045,"Faulkner County, Arkansas",-92.33201857,35.14732521,0.12195999999949,0.689,0.111,0.612,0.198,3.26,0.012,2395.1533537884,0.093,0.305,0.272,0.09,9.4,12.7205473400477,91.9513249737476,0.363,0.378,0.002
05047,"Franklin County, Arkansas",-93.89070916,35.51229968,0.205779999998413,0.621,0.009,0.174,0.195,3.21,0.004,1464.19457143721,0.127,0.41,0.281,0.047,2.4,30.6046732108293,93.6322869955157,0.211,0.261,0.008
05049,"Fulton County, Arkansas",-91.81767336,36.3818346,0.236489999999321,0.585,0.001,0.071,0.166,2.95,0.002,1065.93929649086,0.135,0.358,0.285,0.05,7.6,27.5472062742328,95.8987235823394,0.215,0.308,0.013
05051,"Garland County, Arkansas",-93.15048723,34.57659951,0.198079999998299,0.612,0.082,0.631,0.171,3.01,0.007,2126.31202557224,0.105,0.314,0.319,0.101,6.0,13.0158221898682,90.6470631050295,0.245,0.416,0.005
05053,"Grant County, Arkansas",-92.42371463,34.29002049,0.173389999999927,0.648,0.043,0.25,0.191,3.03,0.002,1235.18153000569,0.135,0.438,0.242,0.062,13.7,28.0512138821026,96.8340768455893,0.294,0.437,0.0
05055,"Greene County, Arkansas",-90.55895377,36.11773282,0.186279999999897,0.649,0.009,0.585,0.202,3.01,0.001,2030.7202331376,0.111,0.459,0.238,0.048,7.1,20.3640771297211,95.4451464675474,0.182,0.35,0.001
05057,"Hempstead County, Arkansas",-93.66809039,33.73564268,0.147219999998924,0.613,0.302,0.442,0.223,3.17,0.0,2039.3285674469,0.133,0.368,0.245,0.039,10.6,32.0380945635954,88.4503845668894,0.232,0.359,0.004
05059,"Hot Spring County, Arkansas",-92.94560125,34.31751189,0.219989999999598,0.653,0.113,0.34,0.174,2.98,0.002,1629.26587616956,0.127,0.39,0.259,0.077,4.0,12.3990592010606,92.8160220546501,0.214,0.336,0.002
05061,"Howard County, Arkansas",-93.99344494,34.08897983,0.160649999999805,0.62,0.21,0.325,0.215,3.19,0.002,1026.56828506991,0.192,0.384,0.294,0.02,3.1,50.9369936887961,89.6082809011569,0.23,0.39,0.013
05063,"Independence County, Arkansas",-91.56991638,35.74143554,0.180799999998271,0.633,0.02,0.314,0.199,3.02,0.009,1203.47632854466,0.108,0.376,0.265,0.04,9.3,13.8176969598247,97.5409265064438,0.242,0.31,0.003
05065,"Izard County, Arkansas",-91.91279069,36.09526565,0.244559999999183,0.606,0.012,0.0,0.146,3.36,0.002,1407.81622989055,0.127,0.38,0.317,0.017,5.1,26.9990783961,97.2173574625414,0.201,0.242,0.0
05067,"Jackson County, Arkansas",-91.21423884,35.59923757,0.17337999999836,0.66,0.17,0.349,0.172,3.0,0.001,1500.20668125861,0.137,0.425,0.341,0.038,3.8,22.136556511417,107.379737609329,0.24,0.289,0.0
05069,"Jefferson County, Arkansas",-91.93189159,34.26882203,0.13962999999967,0.658,0.561,0.691,0.19,3.06,0.008,1717.38592648235,0.069,0.389,0.342,0.05,6.9,14.7679617214088,86.3613814157603,0.271,0.369,0.003
05071,"Johnson County, Arkansas",-93.46000035,35.57001766,0.165409999999611,0.639,0.015,0.286,0.205,3.23,0.014,1660.09419301429,0.119,0.407,0.277,0.045,3.4,25.2525003337094,98.0313749615503,0.235,0.313,0.003
